Year,Name,POS,Height,Weight,Forty_Yard,Bench_Press,Vert_Leap,Broad_Jump,Shuttle,position_group
1987,Joey Clinkscales,WR,73.0,193,4.61,,32.5,103.0,4.43,WR_RB_DB
1987,Leonard Bell,SS,70.8,201,4.61,18.0,30.0,106.0,4.3,WR_RB_DB
1987,Roger Vick,FB,74.5,223,4.61,12.0,34.0,119.0,4.25,LB_FB_TE_QB
1987,Jamie Mueller,FB,73.0,224,4.61,19.0,33.0,117.0,3.99,LB_FB_TE_QB
1987,Craig Richardson,WR,71.3,185,4.62,14.0,34.5,119.0,4.35,WR_RB_DB
1987,Donald Evans,DT,73.8,262,4.62,29.0,31.0,115.0,4.52,lineman
1987,Albert Bell,WR,70.8,174,4.63,4.0,29.5,114.0,4.5,WR_RB_DB
1987,Darryl Oliver,RB,70.8,194,4.63,12.0,28.0,112.0,4.4,WR_RB_DB
1987,Leonard Jones,FS,73.0,186,4.64,9.0,31.5,113.0,4.33,WR_RB_DB
1987,Jason Stargel,WR,74.3,186,4.64,5.0,30.5,114.0,4.36,WR_RB_DB
1987,Jon Horton,WR,72.5,186,4.64,2.0,30.0,116.0,,WR_RB_DB
1987,Nelson Jones,FS,72.8,194,4.64,6.0,,,,WR_RB_DB
1987,Lyneal Alston,WR,72.1,202,4.64,7.0,32.0,114.0,4.52,WR_RB_DB
1987,Henry Rolling,OLB,73.5,211,4.64,20.0,36.5,119.0,4.42,LB_FB_TE_QB
1987,Troy Stradford,RB,68.8,192,4.65,,31.0,116.0,4.55,WR_RB_DB
1987,Bobby Morse,RB,69.6,201,4.65,14.0,29.0,110.0,4.07,WR_RB_DB
1987,Marcus Greenwood,FB,72.3,206,4.65,13.0,32.0,112.0,4.12,LB_FB_TE_QB
1987,David Dudley,OLB,74.1,210,4.65,15.0,27.5,111.0,4.38,LB_FB_TE_QB
1987,John Little,FS,73.3,199,4.66,,29.0,113.0,4.19,WR_RB_DB
1987,Al Smith,OLB,72.3,228,4.66,24.0,26.0,111.0,4.5,LB_FB_TE_QB
1987,Rick Graf,OLB,77.0,240,4.66,18.0,34.0,122.0,4.02,LB_FB_TE_QB
1987,Michael Clemons,TE,64.9,163,4.67,9.0,29.0,108.0,4.42,LB_FB_TE_QB
1987,Jeff Tiefenthaler,WR,73.0,181,4.67,11.0,24.0,105.0,,WR_RB_DB
1987,Karl Dorrell,WR,71.0,188,4.67,8.0,30.5,112.0,4.44,WR_RB_DB
1987,Don Smith,RB,71.3,199,4.67,11.0,30.0,114.0,,WR_RB_DB
1987,Wayne Haddix,CB,73.1,200,4.67,8.0,37.0,122.0,4.35,WR_RB_DB
1987,Perry Williams,CB,73.0,203,4.67,8.0,29.0,103.0,4.21,WR_RB_DB
1987,Calvin Nicholas,WR,75.8,208,4.67,12.0,27.5,117.0,4.4,WR_RB_DB
1987,Warren Marshall,FB,73.1,219,4.68,14.0,26.5,111.0,4.56,LB_FB_TE_QB
1987,Rod Bernstine,RB,75.0,238,4.68,18.0,29.5,112.0,4.39,WR_RB_DB
1987,Anthony Anderson,CB,73.6,208,4.69,,31.0,111.0,4.48,WR_RB_DB
1987,Tom Brown,RB,72.5,218,4.69,19.0,25.5,97.0,4.35,WR_RB_DB
1987,Tim Pidgeon,OLB,71.1,231,4.69,22.0,30.0,111.0,4.02,LB_FB_TE_QB
1987,Winston Moss,OLB,75.3,235,4.69,16.0,30.0,111.0,4.36,LB_FB_TE_QB
1987,Mark Moore,FS,71.0,199,4.7,7.0,28.0,114.0,4.1,WR_RB_DB
1987,Derek Tennell,TE,76.3,243,4.7,17.0,32.0,117.0,4.61,LB_FB_TE_QB
1987,Onzy Elam,OLB,73.8,216,4.71,19.0,29.5,110.0,4.35,LB_FB_TE_QB
1987,Tony Burse,RB,72.0,220,4.71,20.0,27.5,104.0,4.88,WR_RB_DB
1987,Joe Armentrout,FB,72.3,220,4.71,18.0,31.0,116.0,4.16,LB_FB_TE_QB
1987,David Mccluskey,FB,72.0,221,4.71,,22.5,101.0,4.37,LB_FB_TE_QB
1987,Tim Manoa,FB,72.0,232,4.71,22.0,24.5,106.0,4.35,LB_FB_TE_QB
1987,Ron Hall,TE,76.1,239,4.71,20.0,28.5,111.0,4.14,LB_FB_TE_QB
1987,William Harris,TE,76.3,244,4.71,10.0,28.0,107.0,4.43,LB_FB_TE_QB
1987,Tim Mcdonald,SS,74.5,207,4.72,6.0,33.0,122.0,4.27,WR_RB_DB
1987,Darryl Holmes,SS,74.4,188,4.73,2.0,30.5,116.0,4.22,WR_RB_DB
1987,David Brandon,OLB,75.1,223,4.73,9.0,26.5,108.0,4.45,LB_FB_TE_QB
1987,Jerry Reese,TE,73.3,229,4.73,14.0,27.5,107.0,4.37,LB_FB_TE_QB
1987,Chris Miller,QB,73.4,190,4.74,,30.5,117.0,4.35,LB_FB_TE_QB
1987,Tracy Ham,RB,70.3,196,4.74,6.0,28.0,110.0,4.28,WR_RB_DB
1987,Alfred Jenkins,RB,75.3,218,4.74,,31.0,116.0,4.49,WR_RB_DB
1987,Patrick Scott,WR,69.4,173,4.75,,31.5,116.0,4.34,WR_RB_DB
1987,John Settle,RB,69.3,207,4.75,10.0,29.0,112.0,4.51,WR_RB_DB
1987,Vinny Testaverde,QB,76.3,213,4.75,13.0,,,,LB_FB_TE_QB
1987,Doug Bartlett,OLB,74.3,250,4.75,31.0,31.0,112.0,4.12,LB_FB_TE_QB
1987,Johnny Holland,OLB,73.8,226,4.76,16.0,33.5,124.0,4.36,LB_FB_TE_QB
1987,Reggie Rogers,DE,78.3,268,4.76,,29.0,103.0,4.91,lineman
1987,Maurice Williams,RB,71.5,213,4.77,13.0,28.0,104.0,4.57,WR_RB_DB
1987,Ilia Jarostchuk,ILB,75.5,231,4.77,,31.0,116.0,4.43,LB_FB_TE_QB
1987,Marc Munford,OLB,74.0,238,4.78,15.0,30.0,110.0,4.31,LB_FB_TE_QB
1987,Jim Riggs,TE,77.0,245,4.78,18.0,25.5,100.0,4.34,LB_FB_TE_QB
1987,Byron Evans,ILB,74.0,220,4.79,17.0,29.5,117.0,4.48,LB_FB_TE_QB
1987,David Wyman,ILB,74.0,235,4.79,23.0,29.0,118.0,4.3,LB_FB_TE_QB
1987,Rick Fenney,FB,74.3,246,4.79,28.0,29.5,101.0,4.46,LB_FB_TE_QB
1987,Ronnie Moten,OLB,72.5,230,4.8,20.0,30.5,116.0,,LB_FB_TE_QB
1987,Todd Howard,OLB,74.9,237,4.8,17.0,28.0,108.0,4.5,LB_FB_TE_QB
1987,Lakei Heimuli,RB,70.8,219,4.81,20.0,29.5,101.0,4.75,WR_RB_DB
1987,Cody Carlson,QB,75.0,191,4.82,,29.5,111.0,4.45,LB_FB_TE_QB
1987,Hardy Nickerson,ILB,73.5,223,4.82,19.0,28.0,108.0,4.15,LB_FB_TE_QB
1987,Toby Caston,OLB,73.0,235,4.82,10.0,32.5,117.0,4.55,LB_FB_TE_QB
1987,Gerald Bayless,TE,75.8,235,4.82,,26.0,108.0,4.34,LB_FB_TE_QB
1987,Arthur Wells,TE,75.8,236,4.82,13.0,28.0,101.0,4.82,LB_FB_TE_QB
